numero_cluster,manifest_url,canvas_number,image_url,City,Country,Title,wkt,Date,Journal Type,notice
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/punch_almanack1921/manifest.json,11,"https://digi.ub.uni-heidelberg.de/iiif/2/punch_almanack1921%3A0000l.jpg/1120,1581,824,1041/full/0/default.jpg",London,United Kingdom,Punch's Almanack,POINT(-0.1275 51.507222222222),1921-01-01,Humour,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/fb164/manifest.json,12,"https://digi.ub.uni-heidelberg.de/iiif/2/fb164%3A010.jpg/159,199,2031,2207/full/0/default.jpg",Munich,Germany,Fliegende Blätter,POINT(11.575 48.1375),1926-01-01,Humour,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/punch_almanack1922/manifest.json,12,"https://digi.ub.uni-heidelberg.de/iiif/2/punch_almanack1922%3Am.jpg/192,177,1437,2167/full/0/default.jpg",London,United Kingdom,Punch's Almanack,POINT(-0.1275 51.507222222222),1922-01-01,Humour,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/jugend1910_1/manifest.json,12,"https://digi.ub.uni-heidelberg.de/iiif/2/jugend1910_1%3A0010.jpg/1004,185,700,826/full/0/default.jpg",Munich,Germany,Jugend,POINT(11.575 48.1375),1910-01-01,Modern Art Journal,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/studio1901/manifest.json,13,"https://digi.ub.uni-heidelberg.de/iiif/2/studio1901%3A002.jpg/500,327,1113,2280/full/0/default.jpg",London,United Kingdom,Studio : international art,POINT(-0.1275 51.507222222222),1901-01-01,Modern Art Journal,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/punch1924a/manifest.json,33,"https://digi.ub.uni-heidelberg.de/iiif/2/punch1924a%3A000_bh.jpg/580,590,1392,1183/full/0/default.jpg",London,United Kingdom,Punch,POINT(-0.1275 51.507222222222),1924-01-01,Humour,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/punch1924a/manifest.json,34,"https://digi.ub.uni-heidelberg.de/iiif/2/punch1924a%3A000_bi.jpg/698,2173,1182,584/full/0/default.jpg",London,United Kingdom,Punch,POINT(-0.1275 51.507222222222),1924-01-01,Humour,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/chrzanowski2001/manifest.json,,"https://digi.ub.uni-heidelberg.de/iiif/2/chrzanowski2001%3A039.jpg/1112,0,953,1679/full/0/default.jpg",Kraków,Poland,Polen - Schätze der Jahrhunderte,POINT(19.937222222222 50.061388888889),2001-01-01,Art History,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/bmusvars1963/manifest.json,67,"https://digi.ub.uni-heidelberg.de/iiif/2/bmusvars1963%3A058.jpg/121,59,730,994/full/0/default.jpg",Warsaw,Poland,Bulletin du Musée National de Varsovie,POINT(21.011111111111113 52.23),1963-01-01,Art History,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/bmusvars1963/manifest.json,67,"https://digi.ub.uni-heidelberg.de/iiif/2/bmusvars1963%3A058.jpg/898,59,742,992/full/0/default.jpg",Warsaw,Poland,Bulletin du Musée National de Varsovie,POINT(21.011111111111113 52.23),1963-01-01,Art History,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/studio1917a/manifest.json,80,"https://digi.ub.uni-heidelberg.de/iiif/2/studio1917a%3A065.jpg/358,256,1349,2182/full/0/default.jpg",London,United Kingdom,Studio : international art,POINT(-0.1275 51.507222222222),1917-01-01,Modern Art Journal,
874,https://digi.ub.uni-heidelberg.de/diglit/iiif/wj1902/manifest.json,95,"https://digi.ub.uni-heidelberg.de/iiif/2/wj1902%3A3753.jpg/101,551,2260,2858/full/0/default.jpg",Berlin,Germany,"Der wahre Jakob : illustrierte Zeitschrift für Satire, Humor und Unterhaltung",POINT(13.383333333333 52.516666666667),1902-01-01,Humour,
874,https://iiif.unige.ch/dhportal/ug8043007/manifest,0,"https://iiif.unige.ch/iiif/2/fedora_ug8042172/4,7,400,566/full/0/default.jpg",Tokyo,Japan,EIGA GEIJUTSU,POINT(139.69222222222 35.689722222222),1961-01-01,Illustrated Magazine,
874,https://iiif.unige.ch/dhportal/ug8004159/manifest,0,"https://iiif.unige.ch/iiif/2/fedora_ug8097648/4,16,407,499/full/0/default.jpg",New York City,United States of America,LIFE,POINT(-74.006015 40.712728),1953-10-26,Illustrated Magazine,
874,https://iiif.unige.ch/dhportal/ug8010003/manifest,0,"https://iiif.unige.ch/iiif/2/fedora_ug8065366/14,16,818,823/full/0/default.jpg",Beijing,People's Republic of China,China Screen,POINT(116.407526 39.90403),1905-06-01,Cinema,
